date,open,high,low,close,volume,RSI,PPO,ADX,MOM,CCI,ROC,WILLR,SMA20,SMA50,SMA100,EMA20,EMA50,EMA100,PSAR,OBV,ADOSC,MFI,ATR,BBANDS_upper,BBANDS_middle,BBANDS_lower,STOCH_K,STOCK_D,MACD,MACD_S,MACD_H
2003-02-25,230.75,231.5,230.75,232.0,214,,,,,,,,,,,,,,,214.0,,,,,,,,,,,
2003-02-26,231.75,232.5,231.75,231.75,284,,,,,,,,,,,,,,230.75,-70.0,,,,,,,,,,,
2003-02-27,231.5,232.5,231.5,230.25,284,,,,,,,,,,,,,,230.785,-354.0,,,,,,,,,,,
2003-02-28,230.0,231.5,230.0,231.75,34,,,,,,,,,,,,,,232.5,-320.0,,,,,,,,,,,
2003-03-03,231.75,232.25,231.75,233.5,34,,,,,,,,,,,,,,232.5,-286.0,,,,233.9139767440573,231.85,229.78602325594272,,,,,
2003-03-04,233.5,234.25,233.5,236.0,32,,,,,,,,,,,,,,230.0,-254.0,,,,236.58192065026648,232.65,228.71807934973356,,,,,
2003-03-05,236.25,237.0,236.25,236.75,280,,,,,,,,,,,,,,230.085,26.0,,,,238.5754441424079,233.65,228.7245558575921,,,,,
2003-03-06,236.25,236.25,236.0,239.75,215,,,,,,,,,,,,,,230.3616,241.0,,,,241.0581757415652,235.55,230.0418242584348,,,,,
2003-03-07,239.5,239.5,239.25,239.75,21,,,,,,,,,,,,,,230.627136,241.0,,,,241.91025209416208,237.15,232.38974790583796,112.9800307219662,121.4928767205807,,,
2003-03-10,238.75,239.25,238.75,237.25,21,,,,,,,,,,,,,,231.15950784,220.0,2538.9945370991177,,,241.0240998703595,237.9,234.7759001296405,101.67050691244238,113.42692991174964,,,
2003-03-11,238.75,239.25,238.75,237.25,21,,,,5.25,,2.2629310344827624,,,,,,,,231.6599373696,220.0,2263.5684470204906,,,240.78818119165305,238.15,235.51181880834696,67.14669738863286,93.93241167434714,,,
2003-03-12,237.5,237.5,237.5,237.5,3,,,,5.75,,2.481121898597616,,,,,,,,232.130341127424,223.0,1945.1151877137345,,,240.6748684174044,238.3,235.9251315825956,47.02380952380951,71.9470046082949,,,
2003-03-13,237.0,237.0,237.0,235.25,3,,,,5.0,,2.1715526601520097,,,,,,,,232.57252065977855,220.0,1638.01020093245,,,240.25657137141772,237.4,234.54342862858223,2.857142857142842,39.00921658986173,,,
2003-03-14,230.0,230.0,230.0,230.0,293,,,,-1.75,-108.68686868686784,-0.7551240560949246,-100.0,,,,,,,239.5,-73.0,1363.466324437156,,,241.1368268832474,235.45,229.76317311675257,-9.04761904761906,13.611111111111091,,,
2003-03-17,232.75,233.5,232.75,229.75,293,44.82758620689656,,,-3.75,-65.30054644808635,-1.6059957173447548,-102.63157894736842,,,,,,,239.31,-366.0,288.1559818311589,64.82123742579985,1.375,240.7866658540563,233.95,227.11333414594367,-24.234234234234247,-10.14157014157016,,,
2003-03-18,229.75,230.5,229.5,229.75,262,44.82758620689656,,,-6.25,-104.35347628330015,-2.648305084745761,-97.5,,,,,,,239.1238,-366.0,-219.6215203104912,49.76710409914527,1.3482142857142858,239.01810474947027,232.45,225.8818952505297,0.1407657657657542,-11.04702917202919,,,
2003-03-19,230.0,230.75,230.0,231.5,265,49.53654743390358,,,-5.25,-83.81317978246834,-2.2175290390707536,-80.0,,,,,,,238.738848,-101.0,-154.4285420674846,65.28303317674674,1.323341836734694,235.45713679359392,231.25,227.04286320640608,9.029654654654644,-5.021271271271288,,,
