Date,b&h,without_pca,with_pca,with_pca_and_dwt
2015-12-18,100000.0,100000.0,100000.0,100000.0
2015-12-21,98464.8819325714,98464.8819325714,98464.8819325714,98464.8819325714
2015-12-22,98464.8819325714,98464.8819325714,98464.8819325714,98464.8819325714
2015-12-23,97814.96771748352,97814.96771748352,99016.97129538724,97814.96771748352
2015-12-24,101199.96771748352,101199.96771748352,102341.81600371549,101199.96771748352
2015-12-28,102635.20441181946,102635.20441181946,103793.48266020963,102635.20441181946
2015-12-29,99196.04317219544,99196.04317219544,107171.9295370712,99196.04317219544
2015-12-30,102364.40854389954,102364.40854389954,103963.78409792326,102364.40854389954
2015-12-31,98762.76358540345,98762.76358540345,100205.09214366913,98762.76358540345
2016-01-04,100983.32275898746,100983.32275898746,97848.9715257263,100983.32275898746
2016-01-05,100820.84937031555,100820.84937031555,98014.02480941772,100820.84937031555
2016-01-06,98654.4411061554,98654.4411061554,95812.12818008424,98654.4411061554
2016-01-07,92723.92482502747,92723.92482502747,90052.43179183961,92723.92482502747
2016-01-08,91424.08606465149,91424.08606465149,88790.03299575807,91424.08606465149
2016-01-11,90882.48399861145,90882.48399861145,88264.0309892273,90882.48399861145
2016-01-12,85466.48399861145,85466.48399861145,93441.69384123613,85466.48399861145
2016-01-13,83597.96771748352,83597.96771748352,91307.35300568774,83597.96771748352
2016-01-14,82108.56461842346,82108.56461842346,89680.44962052538,82108.56461842346
2016-01-15,84058.32792408753,84058.32792408753,91810.21323136523,84058.32792408753
2016-01-19,84004.16668446352,84004.16668446352,91777.55475477029,84004.16668446352
2016-01-20,77911.16668446352,77911.16668446352,98439.80475477029,77911.16668446352
2016-01-21,75528.12379200745,75528.12379200745,101045.48791745951,75528.12379200745
2016-01-22,79238.08606465149,79238.08606465149,105903.96535852244,79238.08606465149
2016-01-25,87172.52689106751,87172.52689106751,95179.6422525654,87172.52689106751
2016-01-26,82623.08606465149,82623.08606465149,90121.86163017467,82623.08606465149
2016-01-27,86143.48399861145,86143.48399861145,86187.57538618663,86143.48399861145
2016-01-28,89663.88193257141,89663.88193257141,82343.47764219859,89663.88193257141
2016-01-29,91803.20441181946,91803.20441181946,80007.44493498423,91803.20441181946
2016-02-01,94105.01060993958,94105.01060993958,81931.83771345715,94105.01060993958
2016-02-02,93969.60234577942,93969.60234577942,81813.93051741223,93969.60234577942
2016-02-03,88634.84937031555,88634.84937031555,77168.67663405041,88634.84937031555
2016-02-04,94917.40854389954,94917.40854389954,71616.25815138439,94917.40854389954
2016-02-05,93346.76358540345,93346.76358540345,70360.95777233319,93346.76358540345
2016-02-08,92263.56978352356,92263.56978352356,71107.7513181477,92263.56978352356
2016-02-09,89068.12895710755,89068.12895710755,68576.4355789929,89068.12895710755
2016-02-10,82135.64523823548,82135.64523823548,73850.53788282209,82135.64523823548
2016-02-11,83543.8064778595,83543.8064778595,72765.2969274693,83543.8064778595
2016-02-12,81431.56461842346,81431.56461842346,74393.15836049848,81431.56461842346
2016-02-16,90367.96771748352,90367.96771748352,67506.05597211652,90367.96771748352
2016-02-17,87172.52689106751,87172.52689106751,65053.854794122744,87172.52689106751
2016-02-18,93455.08606465149,93455.08606465149,60295.39527087598,93455.08606465149
2016-02-19,92859.32275898743,92859.32275898743,60740.457740358404,92859.32275898743
2016-02-22,89420.1615193634,89420.1615193634,63309.66866641431,89420.1615193634
2016-02-23,93969.60234577942,93969.60234577942,59911.02804904371,93969.60234577942
2016-02-24,90124.24730427552,90124.24730427552,62783.684344820074,90124.24730427552
2016-02-25,93211.36565144348,93211.36565144348,60477.465579561285,93211.36565144348
2016-02-26,95594.40854389954,95594.40854389954,61961.47790437133,95594.40854389954
2016-02-29,95079.88193257141,96013.83397006989,62233.30766231352,95079.88193257141
2016-03-01,97435.84937031555,93655.256524086,63711.92042921264,97435.84937031555
2016-03-02,97408.76358540345,93682.3723154068,63694.20664594848,97408.76358540345
2016-03-03,100035.52689106751,96112.74757405854,65412.07880781371,100035.52689106751
2016-03-04,100414.64523823548,96477.02598592377,65098.38299942596,100414.64523823548
2016-03-07,104882.84937031555,100770.32995626068,67927.46489635285,104882.84937031555
2016-03-08,110623.8064778595,95146.86713552094,64136.754449819644,110623.8064778595
2016-03-09,107401.29019673157,92282.70565081407,66226.39203832061,107401.29019673157
2016-03-10,111246.64523823548,95587.04138994981,63732.87525365265,103444.18400658417
