Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-12-18,100000.0,100000.0,100000.0,100000.0,100000.0
2015-12-21,98464.8819325714,98464.8819325714,98464.8819325714,101338.33471720126,98464.8819325714
2015-12-22,98464.8819325714,98464.8819325714,98464.8819325714,101338.33471720126,98464.8819325714
2015-12-23,97814.96771748352,97814.96771748352,97814.96771748352,100568.70592085272,97814.96771748352
2015-12-24,101199.96771748352,101199.96771748352,101199.96771748352,96984.31734915168,101199.96771748352
2015-12-28,102635.20441181946,102635.20441181946,102635.20441181946,98261.72970228584,102635.20441181946
2015-12-29,99196.04317219544,99196.04317219544,105975.45586447144,94968.61851530464,99196.04317219544
2015-12-30,102364.40854389954,102364.40854389954,109252.06318227007,98002.43365888984,102364.40854389954
2015-12-31,98762.76358540345,98762.76358540345,105407.02788869097,94553.73891096504,98762.76358540345
2016-01-04,100983.32275898746,100983.32275898746,102929.2899942131,92331.22600527196,100983.32275898746
2016-01-05,100820.84937031555,100820.84937031555,103102.86293122484,92090.56132833105,100820.84937031555
2016-01-06,98654.4411061554,98654.4411061554,100786.2667436333,93979.21216146094,98654.4411061554
2016-01-07,92723.92482502747,92723.92482502747,94726.54054352954,99401.64876119238,92723.92482502747
2016-01-08,91424.08606465149,91424.08606465149,93398.38181016162,97909.86886049277,91424.08606465149
2016-01-11,90882.48399861145,90882.48399861145,92844.97969910815,97329.66664720542,90882.48399861145
2016-01-12,85466.48399861145,85466.48399861145,87310.97969910815,103038.27099942023,85466.48399861145
2016-01-13,83597.96771748352,83597.96771748352,85401.7534990044,105041.33701275643,83597.96771748352
2016-01-14,82108.56461842346,82108.56461842346,83879.9003324242,106637.99033497626,82108.56461842346
2016-01-15,84058.32792408753,84058.32792408753,85872.14371010974,104547.82679127509,84058.32792408753
2016-01-19,84004.16668446352,84004.16668446352,85816.80244347767,104605.88812016303,84004.16668446352
2016-01-20,77911.16668446352,77911.16668446352,79591.05244347767,111137.63812016303,77911.16668446352
2016-01-21,75528.12379200745,75528.12379200745,77156.0894880028,113692.28122090155,75528.12379200745
2016-01-22,79238.08606465149,79238.08606465149,80946.88181016162,109715.168784607,79238.08606465149
2016-01-25,87172.52689106751,87172.52689106751,72749.7584648247,101209.3778986817,87172.52689106751
2016-01-26,82623.08606465149,82623.08606465149,77403.35931016161,106086.418784607,82623.08606465149
2016-01-27,86143.48399861145,86143.48399861145,73802.3614235039,102312.52099942023,86143.48399861145
2016-01-28,89663.88193257141,89663.88193257141,76742.04725677875,98538.62321423346,89663.88193257141
2016-01-29,91803.20441181946,87432.45535471344,78573.26937897113,96245.25055645758,91803.20441181946
2016-02-01,94105.01060993958,89535.57672457125,80543.57468445209,93777.69391201789,94105.01060993958
2016-02-02,93969.60234577942,89406.71886019137,80427.66761047748,93922.85277127082,93969.60234577942
2016-02-03,88634.84937031555,84330.03554491427,75861.2136233559,99641.75524090583,88634.84937031555
2016-02-04,94917.40854389954,90308.67475847628,70402.90392853168,92906.79612683112,94917.40854389954
2016-02-05,93346.76358540345,88814.01003984835,71748.50817657856,91278.165355774,93346.76358540345
2016-02-08,92263.56978352356,87783.21593813326,70844.83613922505,92247.2058305436,94337.73632289885
2016-02-09,89068.12895710755,84742.35515169527,73230.68385174184,95375.38663956459,90979.64551498413
2016-02-10,82135.64523823548,78145.23161272432,67464.11567516712,87863.8092980462,83898.68171646119
2016-02-11,83543.8064778595,79485.2727923813,68620.59669323353,89370.25062418755,85337.0029826355
2016-02-12,81431.56461842346,77475.21102289583,70288.97754205327,87110.58863497552,83179.52108337403
2016-02-16,90367.96771748352,85979.31397203829,77924.29011549574,96670.69195032891,92307.32424880982
2016-02-17,87172.52689106751,82938.4531856003,75168.98940291029,99995.94883356866,89043.44340469361
2016-02-18,93455.08606465149,88917.09239916231,80586.18869032484,93267.94971857843,95460.5625605774
2016-02-19,92859.32275898743,88350.14925341036,80072.48583998304,92580.79642268001,94852.03918411255
2016-02-22,89420.1615193634,85077.35807375338,77107.03477110487,89151.7951867181,91339.21791793824
2016-02-23,93969.60234577942,89406.71886019137,81029.83548369032,93687.7960106927,95986.09876205445
2016-02-24,90124.24730427552,85747.3835788193,77714.13975920301,89853.80095454036,92058.38382675171
2016-02-25,93211.36565144348,88685.16200594332,80376.03833403211,92931.79930659114,95211.62213851929
2016-02-26,95594.40854389954,90952.92475847628,82430.84082808119,95307.80219050228,97645.70509292603
2016-02-29,95079.88193257141,91351.92814250184,81987.18512739759,94794.7955987054,97120.15833999634
2016-03-01,97435.84937031555,93522.67528758242,79871.0549094563,97143.80301447689,99526.58593704224
2016-03-02,97408.76358540345,93496.6697333832,79769.08870858961,97116.79724665462,99498.92002822876
2016-03-03,100035.52689106751,90879.15863949586,81920.55141610914,99735.80054255306,102181.94340469361
2016-03-04,100414.64523823548,90514.88022763062,82231.07006234938,100113.79889460384,102569.18171646119
2016-03-07,104882.84937031555,86221.57625729371,85890.77344674879,104568.80301447689,107133.08593704224
2016-03-08,110623.8064778595,90850.3405990906,90592.9310776692,110292.80013056575,112997.0029826355
2016-03-09,107401.29019673157,88203.78365328982,93144.0632286244,113398.9758981477,109705.46678115845
2016-03-10,111246.64523823548,91361.8595810242,89991.66729356581,109560.72084748853,113633.18171646119
2016-03-11,108484.48399861145,89093.37856295779,92256.06830980117,112317.78208482373,110811.86045028687
2016-03-14,109405.20441181946,89849.53890231326,91501.26797105605,111398.76167237866,111752.30087234497
2016-03-15,107076.32275898746,91673.99212231446,89463.68402121171,113723.34332215891,109373.53918411258
2016-03-16,104937.01060993958,93432.52566876225,87675.92058203323,115858.70548570264,107188.40720321656
2016-03-17,109242.73102314759,97169.51137230305,83986.82413261992,120492.3195564691,111586.34762527466
2016-03-18,112519.40854389954,94154.96794522481,86419.73582451446,124106.58682178892,114933.20509292603
2016-03-21,111598.68813069153,94974.70831311421,87041.12986029632,124998.9826752893,113992.76467086792
2016-03-22,112519.40854389954,94154.96794522481,87671.59818064698,123982.3822190515,114933.20509292603
2016-03-23,113196.40854389954,93552.21794522481,88199.09818064698,124603.80147632233,115624.70509292603
2016-03-24,109621.84937031555,96734.737209446,85413.89882456788,120668.88238605134,111973.58593704224
2016-03-28,109540.6023457794,96566.51912466816,85350.59335124023,120579.44465335477,111890.59876205443
2016-03-29,109080.24730427552,96160.73349539572,84991.89721476563,120072.68011172883,111420.38382675171
2016-03-30,106020.20441181946,93463.42094580465,82607.59496104249,116704.14692767731,108294.80087234497
2016-03-31,106345.1615193634,93749.85839621359,82860.79270731934,117061.8637436258,108626.71791793824
2016-04-01,107265.8819325714,94561.43876044087,83578.19302927978,118075.40419849027,109567.15833999633
2016-04-04,107428.36565144348,94704.66203848654,83704.79592692383,118254.26829227082,109733.12213851929
2016-04-05,102093.6023457794,99318.17755633172,79548.09335124023,112381.69465335477,104284.09876205443
2016-04-06,102581.04317219544,99692.73828316892,79927.89399516114,112918.2755630838,104781.97960617066
2016-04-07,107915.8064778595,104877.78149605954,84084.59657084473,118790.84920199982,110231.0029826355
