Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-01-21,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-22,102349.9679313908,97445.36294328788,102349.9679313908,102349.9679313908,97445.36294328788
2015-01-23,102349.9679313908,97445.36294328788,102349.9679313908,102349.9679313908,97445.36294328788
2015-01-26,101674.8232501499,98121.82113558178,102923.3656957255,102923.3656957255,96705.72776661375
2015-01-27,102629.67283034061,97165.11387138291,101967.5872735307,101967.5872735307,97614.13524660064
2015-01-28,101472.27984577764,98324.75859326994,103126.10612675571,100717.41569656668,96513.03569513897
2015-01-29,101067.18567850799,98730.64088148759,103531.59435449936,101019.01562097824,96127.6445515692
2015-01-30,103844.94061509936,95947.48175241258,100751.13732166617,103690.5415322017,98770.29467606956
2015-02-02,100758.54705872283,99039.87996551357,103840.53320640493,106670.23460467374,95834.01753780474
2015-02-03,100768.19408517632,99030.21417052612,103830.87679568445,106660.59696248722,95728.91811622321
2015-02-04,103478.42719511846,96314.70823352183,106516.5405615394,109419.87533061985,93147.86926930361
2015-02-05,104606.8938173713,95184.04615091444,105247.49261287207,108116.07536069535,94069.20333894587
2015-02-06,105166.2962567458,95597.29695737443,104671.2210337888,108585.5176579695,94572.01253542646
2015-02-09,105214.52403048807,95641.11479849824,104621.53892056597,108635.2935995459,94615.36123478235
2015-02-10,104539.37199072207,95027.69845108438,105317.0506035545,107938.46839118819,94008.51251421445
2015-02-11,106786.65085024906,92888.68365423086,103002.00360721297,110257.88752538872,96028.44020507336
2015-02-12,106439.43148317515,93204.4911524936,103359.69359722393,109899.5220113173,95716.34808914311
2015-02-13,108223.75609228702,91581.58890587922,101521.56153394625,111741.12552325084,97320.15736815026
2015-02-17,107963.337887719,91818.44787598729,101789.83281666758,111472.34759032607,97086.08497416112
2015-02-18,108069.43310313187,91721.95076858356,101680.53823191833,111581.84858600024,97181.44682147774
2015-02-19,108059.78607667839,91622.25122285173,101690.47617064812,111571.8918787365,97172.77575878998
2015-02-20,107047.0690548171,92389.6647040568,102733.73232449163,112506.51701295645,96262.51259906251
2015-02-23,108300.91022833942,93378.0889910384,103833.71691474429,113710.2526852512,97389.5060274036
2015-02-24,108339.49097562821,93411.34049113361,103870.72140582089,113750.7474579405,97424.18366407174
