Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-01-21,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-22,100986.88498049177,98810.49393296166,100986.88498049177,98810.49393296166,98810.49393296166
2015-01-23,100986.88498049177,98810.49393296166,100986.88498049177,98810.49393296166,98810.49393296166
2015-01-26,98835.17148111293,100967.55109169325,103039.37226460023,100967.55109169325,100967.55109169325
2015-01-27,99780.62273389079,100019.7518639499,102093.13835350054,100019.7518639499,100019.7518639499
2015-01-28,98900.37215681071,100902.18849378762,102974.11761483316,100902.18849378762,99038.16119641408
2015-01-29,95640.20571540955,97476.44950124159,106236.98286951362,104170.45137502669,102207.34124462825
2015-01-30,95238.12382723055,97789.29740586215,106639.39760693781,104573.53181094125,101675.9006518825
2015-02-02,95064.24430399381,97513.33820682978,106338.27021622614,104747.84315418603,101760.01271704872
2015-02-03,97411.568121498,99920.89963885603,108965.40746892952,102394.68989011517,104168.95374325235
2015-02-04,100313.11426449736,96840.0814755883,105606.54608705906,99485.93792060176,107272.26302864568
2015-02-05,99454.60277333787,97722.04568132416,104597.78283760989,100346.58147672273,108083.87888576549
2015-02-06,100432.65436396463,98584.70357956685,103463.2565571054,99366.10095002655,109038.18509360225
2015-02-09,100246.52037207519,98668.97697701878,103659.25195253865,99552.6971952071,109131.40410864387
2015-02-10,100312.21181319166,98604.42752287535,103590.08017017096,99486.84261309446,109093.88540239692
2015-02-11,99710.02077826722,99196.15000504036,104224.1753658861,100090.52915555597,109640.28730006497
2015-02-12,99261.10698813504,99637.25983027785,104696.87266807827,100540.55779781597,110128.96414942242
2015-02-13,101199.0880354571,97732.96885083143,102656.21712818286,98597.76388365454,108019.3241848293
2015-02-17,102293.9899390709,96657.10083792615,101503.30717669548,97500.14285279666,106827.44007617685
2015-02-18,101943.62166405203,97001.37827372698,101872.23800933125,97851.38124770383,107208.84262721147
2015-02-19,99710.02077826722,99196.15000504036,104224.1753658861,100090.52915555597,109640.28730006497
2015-02-20,97991.02512373109,100885.26245697279,106034.24363788111,101813.7938390355,111511.54498691515
2015-02-23,98516.5733595401,100368.85040738231,106496.55488803092,101286.9404337667,110939.44570704027
2015-02-24,97520.21697103961,101347.88603085092,105419.368262715,102285.77121727173,109707.7844956631
2015-02-25,97969.1224077332,100906.78441383495,105904.69152457082,101835.75094919562,109092.22193206951
2015-02-26,98166.20508452122,100713.12784318315,106117.76269666119,101638.17882867386,109202.5640545599
2015-02-27,97126.05161746354,101735.19917215456,107137.01740479123,102680.91545831528,110252.23263691876
2015-03-02,97005.61173979094,101853.54531023186,107267.32776912738,102801.65444164436,110386.43137478906
2015-03-03,96458.16078798403,102391.4793166845,107859.64432046152,103350.4649570733,110996.42225320968
2015-03-04,95998.3039932915,102843.34191213157,108357.1880544542,103811.46378022949,110356.82459472245
2015-03-05,95516.54448260108,102224.99803770232,108878.42951179888,104294.4197135458,109802.88091893685
2015-03-06,95034.78497191065,101709.3398859451,108220.94178898541,104777.3756468621,110247.38860745914
