Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-01-15,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-16,101734.44000000002,101734.44000000002,98059.06,98059.06,98059.06
2015-01-20,101734.44000000002,101734.44000000002,98059.06,98059.06,98059.06
2015-01-21,102585.94000000002,102585.94000000002,97204.31,97204.31,98783.399
2015-01-22,101996.44000000002,103075.05425000002,96549.528,97796.06,99253.91575000001
2015-01-23,100882.94000000002,104192.80425000002,95495.528,98913.81,100329.16575000001
2015-01-26,101668.94000000002,103403.80425000002,94652.97425,98124.81,99570.16575000001
2015-01-27,100948.44000000002,104127.05425000002,95337.72425,98848.06,98764.02100000002
2015-01-28,100227.94000000002,104850.30425000002,94560.49225000001,99571.31,99372.08300000001
2015-01-29,98131.94000000002,106954.30425000002,92576.49225000001,101675.31,97192.95800000003
2015-01-30,97673.44000000002,107414.55425000002,92917.92625000002,102135.56,97550.91300000003
2015-02-02,97280.44000000002,107809.05425000002,92451.92275000003,101622.769,97060.58000000003
2015-02-03,97214.94000000002,107874.80425000002,92389.67275000003,101554.269,96995.08000000003
2015-02-04,101406.94000000002,103666.80425000002,88297.23525000003,105938.269,101187.08000000003
2015-02-05,100817.44000000002,102960.42325000002,88859.73525000003,105321.769,100597.58000000003
2015-02-06,101275.94000000002,103429.42325000002,89175.39675000003,105801.269,101056.08000000003
2015-02-09,101406.94000000002,103563.42325000002,89290.89675000003,105558.7105,101187.08000000003
2015-02-10,102847.94000000002,105037.42325000002,90561.39675000003,104051.7105,102628.08000000005
2015-02-11,101996.44000000002,105803.56825000001,89810.64675000003,103086.77925,101776.58000000005
2015-02-12,101406.94000000002,106406.56825000001,90240.76875000003,102490.52925,102264.42400000006
2015-02-13,100686.44000000002,107143.56825000001,89510.13900000004,103117.05550000002,102984.92400000006
2015-02-17,101799.94000000002,106004.56825000001,90500.38900000004,104153.41150000002,104021.28000000006
2015-02-18,102389.44000000002,106513.09900000003,91024.63900000004,103443.99125000002,104624.28000000006
2015-02-19,100882.94000000002,107976.51550000004,89684.88900000004,104990.74125000002,103083.28000000006
2015-02-20,102454.94000000002,109554.68175000005,91082.88900000004,103376.74125000002,104691.28000000006
2015-02-23,101275.94000000002,108290.18175000005,90034.38900000004,104587.24125000002,103485.28000000006
2015-02-24,99572.94000000002,106463.68175000005,88519.88900000004,106335.74125000002,101743.28000000006
2015-02-25,99245.44000000002,106708.50300000004,88722.89025000004,106671.99125000002,101408.28000000006
2015-02-26,98786.94000000002,107200.25300000004,88225.05525000005,107142.74125000002,100939.28000000006
2015-02-27,99900.44000000002,108304.41425000005,87138.00400000006,108243.02825000003,102078.28000000006
2015-03-02,101079.44000000002,106913.61425000004,88081.48400000007,106852.22825000003,103284.28000000006
2015-03-03,99572.94000000002,105214.35775000005,89310.18350000007,108490.97825000003,101743.28000000006
2015-03-04,100424.44000000002,106114.60775000005,89984.92725000008,107564.72825000003,102614.28000000006
2015-03-05,100293.44000000002,106147.41175000006,89867.42725000008,107316.88625000004,102480.28000000006
2015-03-06,100620.94000000002,105799.91175000006,90161.17725000008,107668.13625000004,102815.28000000006
2015-03-09,99703.94000000002,104728.27275000008,89338.67725000008,106684.63625000004,103650.70300000007
2015-03-10,100751.94000000002,103519.59975000007,88309.55350000008,107808.63625000004,104639.16775000008
