Date,b&h,without_pca,with_pca,with_pca_and_dwt,with_pca_dwt_mooga
2015-01-21,100000.0,100000.0,100000.0,100000.0,100000.0
2015-01-22,101420.89157434083,98379.96066613769,98379.96066613769,98379.96066613769,98379.96066613769
2015-01-23,101420.89157434083,98379.96066613769,98379.96066613769,98379.96066613769,98379.96066613769
2015-01-26,100865.72970910645,98935.12253137206,98935.12253137206,98935.12253137206,98935.12253137206
2015-01-27,101123.9606661377,98676.89157434081,98676.89157434081,98676.89157434081,99089.59610559083
2015-01-28,99774.4987520752,100026.35348840331,100026.35348840331,100026.35348840331,100312.77765637208
2015-01-29,98432.38803430177,101368.46420617675,101368.46420617675,101368.46420617675,101627.49835949708
2015-01-30,99367.79635949708,100433.05588098144,100433.05588098144,100433.05588098144,100711.18000012208
2015-02-02,98081.05588098145,101719.79635949706,101719.79635949706,101719.79635949706,101971.66046887208
2015-02-03,99348.195163208,100452.65707727052,100452.65707727052,100452.65707727052,100730.38117199708
2015-02-04,100778.01779504395,99022.83444543456,99022.83444543456,99022.83444543456,99329.73859387208
2015-02-05,100360.5368380127,99440.31540246581,99440.31540246581,99440.31540246581,99738.69953137208
2015-02-06,101390.02731652833,98410.82492395019,98410.82492395019,98410.82492395019,98730.21906262208
2015-02-09,101044.5749239502,98756.27731652831,98756.27731652831,98756.27731652831,99068.62140637208
2015-02-10,100616.80588098145,99184.04635949706,99184.04635949706,99184.04635949706,99487.66046887208
2015-02-11,101687.4606661377,98113.39157434081,98113.39157434081,98113.39157434081,98438.85578137208
2015-02-12,101684.51779504395,98116.33444543456,98116.33444543456,98116.33444543456,98441.73859387208
2015-02-13,102662.06540246583,97138.78683801269,97138.78683801269,97138.78683801269,99282.16538757326
2015-02-17,103079.05588098145,96721.79635949706,96721.79635949706,96721.79635949706,98784.03636950684
2015-02-18,103243.2106661377,96557.64157434081,96557.64157434081,96557.64157434081,98626.58177966309
2015-02-19,103210.8630098877,96589.98923059081,96589.98923059081,96589.98923059081,98657.60912341309
2015-02-20,103101.59396691895,96699.25827355956,96699.25827355956,96699.25827355956,98762.41820544434
2015-02-23,103731.2487520752,96069.60348840331,96069.60348840331,96069.60348840331,98158.46361560059
2015-02-24,103699.88205285645,96100.97018762206,96100.97018762206,96100.97018762206,98188.55004138184
2015-02-25,103985.06540246583,95815.78683801269,95815.78683801269,95815.78683801269,97915.00682849121
2015-02-26,103905.69162316895,95895.16061730956,95895.16061730956,95895.16061730956,97991.14086169434
2015-02-27,103752.80588098145,96048.04635949706,96048.04635949706,96048.04635949706,98137.78636950684
2015-03-02,103447.04635949708,96353.80588098144,96353.80588098144,96353.80588098144,98431.06591052246
2015-03-03,104078.6510958252,95722.20114465331,95722.20114465331,95722.20114465331,98927.19396911621
2015-03-04,103607.76779504395,96193.08444543456,96193.08444543456,96193.08444543456,99271.84774499512
2015-03-05,103154.51779504395,96646.33444543456,96646.33444543456,96646.33444543456,99697.34774499512
2015-03-06,103277.50827355958,96523.34396691894,96523.34396691894,96523.34396691894,99716.68729260254
2015-03-09,101818.2868380127,97982.56540246581,97982.56540246581,97982.56540246581,98317.02591564941
2015-03-10,102218.6130098877,98269.20251013184,98269.20251013184,98269.20251013184,97835.69036706544
2015-03-11,100490.38803430177,99829.15448400879,99829.15448400879,99829.15448400879,99493.3755477295
2015-03-12,100298.30588098145,99542.87269299317,99542.87269299317,100013.39654943848,99677.6176131592
2015-03-13,101558.09396691895,100776.95081799317,98210.86304846192,98805.02838537598,98469.2494490967
2015-03-16,100943.14157434083,101280.18756408693,98813.26539221192,99394.88068029785,99059.10174401857
2015-03-17,102304.85348840333,99946.26568908693,97479.34351721192,98088.74884436035,97752.96990808107
2015-03-18,101966.26779504395,100277.94147033693,97811.01929846192,98413.51471350098,98077.7357772217
2015-03-19,103202.04635949708,99067.38287658693,96600.46070471192,97228.1760904541,96892.39715417482
2015-03-20,102700.77731652833,99558.42193908693,97091.49976721192,97708.98517248535,97373.20623620607
2015-03-23,103623.45114465333,98654.57818908693,96187.65601721192,96823.97150061035,96488.19256433107
2015-03-24,103443.12253137208,98831.22662658693,96364.30445471192,96996.9397623291,96661.16082604982
2015-03-25,102810.04635949708,99451.38287658693,96984.46070471192,97604.1760904541,97268.39715417482
2015-03-26,101317.9987520752,100912.98053283693,98446.05836096192,99035.32379553223,98699.54485925294
2015-03-27,101077.89157434083,101148.18756408693,98681.26539221192,99265.63068029785,98929.85174401857
2015-03-30,101316.52731652833,100914.42193908693,98447.49976721192,99036.73517248535,98700.95623620607
2015-03-31,102552.30588098145,99703.86334533693,97236.94117346192,97851.39654943848,97515.6176131592
