Date,b&h,without_pca,with_pca,with_pca_and_dwt
2015-01-21,100000.0,100000.0,100000.0,100000.0
2015-01-22,102349.9679313908,97445.36294328788,97445.36294328788,97445.36294328788
2015-01-23,102349.9679313908,97445.36294328788,97445.36294328788,97445.36294328788
2015-01-26,101674.8232501499,98121.82113558178,98121.82113558178,98121.82113558178
2015-01-27,102629.67283034061,97165.11387138291,97165.11387138291,97165.11387138291
2015-01-28,101472.27984577764,98324.75859326994,98324.75859326994,98324.75859326994
2015-01-29,101067.18567850799,98730.64088148759,98730.64088148759,98730.64088148759
2015-01-30,103844.94061509936,95947.48175241258,95947.48175241258,95947.48175241258
2015-02-02,100758.54705872283,99039.87996551357,99039.87996551357,99039.87996551357
2015-02-03,100768.19408517632,99030.21417052612,99030.21417052612,99030.21417052612
2015-02-04,103478.42719511846,96314.70823352183,96314.70823352183,96314.70823352183
2015-02-05,104606.8938173713,95184.04615091444,95184.04615091444,95184.04615091444
2015-02-06,105166.2962567458,94623.55537994581,94623.55537994581,94623.55537994581
2015-02-09,105214.52403048807,94575.23377784996,94575.23377784996,94575.23377784996
2015-02-10,104539.37199072207,95251.69934298516,95251.69934298516,95251.69934298516
2015-02-11,106786.65085024906,93000.04834559915,93000.04834559915,93000.04834559915
2015-02-12,106439.43148317515,93347.94323673352,93347.94323673352,93347.94323673352
2015-02-13,108223.75609228702,91560.14717896581,91560.14717896581,91560.14717896581
2015-02-17,107963.337887719,91821.07203373726,91821.07203373726,91821.07203373726
2015-02-18,108069.43310313187,91714.77040739947,91714.77040739947,91714.77040739947
2015-02-19,108059.78607667839,91724.43620238689,91724.43620238689,91724.43620238689
2015-02-20,107047.0690548171,92739.1234908277,92739.1234908277,92739.1234908277
2015-02-23,108300.91022833942,91482.84293759034,91482.84293759034,91482.84293759034
2015-02-24,108339.49097562821,91444.18713048192,91444.18713048192,91444.18713048192
2015-02-25,112650.79198469182,87124.4983762645,87124.4983762645,87124.4983762645
2015-02-26,112226.4111230403,87549.70488161572,87549.70488161572,87549.70488161572
2015-02-27,111329.4289845202,88448.43212157264,88448.43212157264,88448.43212157264
2015-03-02,110721.7987714034,89057.24449463714,89057.24449463714,89057.24449463714
2015-03-03,112043.16177157499,87733.31074932902,87733.31074932902,87733.31074932902
2015-03-04,111994.93399783275,87781.63235142485,87781.63235142485,87781.63235142485
2015-03-05,110731.4457978569,89047.57869964968,89047.57869964968,89047.57869964968
2015-03-06,111840.61836720273,89849.86489587532,87936.24820701718,87936.24820701718
2015-03-09,110432.44684600011,90892.76717615486,89347.15936152953,89347.15936152953
2015-03-10,111204.04707472553,90272.03430732615,88574.05796504395,88574.05796504395
