Date,b&h,without_pca,with_pca,with_pca_and_dwt
2015-01-15,100000.0,100000.0,100000.0,100000.0
2015-01-16,101734.44000000002,101734.44000000002,101734.44000000002,98059.06
2015-01-20,101734.44000000002,101734.44000000002,101734.44000000002,98059.06
2015-01-21,102585.94000000002,102585.94000000002,100777.90900000001,97204.31
2015-01-22,101996.44000000002,103075.05425000002,100099.36475000002,97796.06
2015-01-23,100882.94000000002,104192.80425000002,101095.76075000003,98913.81
2015-01-26,101668.94000000002,104901.80800000002,100321.76075000003,98124.81
2015-01-27,100948.44000000002,105542.24875000001,101031.26075000003,97331.21225000001
2015-01-28,100227.94000000002,104683.53275000003,100210.15275000004,97929.81025000001
2015-01-29,98131.94000000002,106771.07025000002,102213.88400000003,99953.81025000001
2015-01-30,97673.44000000002,107250.57025000002,102674.13400000003,100396.56025000001
2015-02-02,97280.44000000002,107661.57025000002,102157.60000000005,99893.12675000002
2015-02-03,97214.94000000002,107730.07025000002,102088.60000000005,99825.87675000002
2015-02-04,101406.94000000002,103346.07025000002,106504.60000000005,104129.87675000002
2015-02-05,100817.44000000002,102642.32500000003,107019.13300000006,103524.62675000002
2015-02-06,101275.94000000002,102072.68050000002,107399.02000000006,103995.37675000002
2015-02-09,101406.94000000002,102102.97450000003,107538.02000000006,104129.87675000002
2015-02-10,102847.94000000002,103554.97450000003,109067.02000000006,102540.72425000003
2015-02-11,101996.44000000002,104309.68450000002,109864.61125000006,103418.22425000003
2015-02-12,101406.94000000002,104903.68450000002,109120.69525000006,102716.51625000003
2015-02-13,100686.44000000002,105629.68450000002,108345.19525000006,101985.01625000003
2015-02-17,101799.94000000002,106693.10950000002,109543.69525000006,103115.51625000003
2015-02-18,102389.44000000002,105967.86575000003,110178.19525000006,103714.01625000003
2015-02-19,100882.94000000002,107549.11575000003,108556.69525000006,102184.51625000003
2015-02-20,102454.94000000002,105899.11575000003,110248.69525000006,103780.51625000003
2015-02-23,101275.94000000002,107136.61575000003,108979.69525000006,102583.51625000003
2015-02-24,99572.94000000002,108924.11575000003,107146.69525000006,100854.51625000003
2015-02-25,99245.44000000002,109267.86575000003,106794.19525000006,100522.01625000003
2015-02-26,98786.94000000002,108653.01825000004,106300.69525000006,100056.51625000003
2015-02-27,99900.44000000002,109881.26825000004,104991.60800000007,101187.01625000003
2015-03-02,101079.44000000002,111181.76825000004,106128.72800000008,102384.01625000003
2015-03-03,99572.94000000002,109520.01825000004,107609.60600000007,100854.51625000003
2015-03-04,100424.44000000002,110459.26825000004,108422.16975000009,101719.01625000003
2015-03-05,100293.44000000002,110493.37025000004,108280.66975000009,101586.01625000003
2015-03-06,100620.94000000002,110744.36675000004,107817.32375000008,101918.51625000003
2015-03-09,99703.94000000002,109732.86675000004,108811.32375000008,102747.70475000003
2015-03-10,100751.94000000002,110888.86675000004,107675.32375000008,103725.30725000004
2015-03-11,100489.94000000002,110599.86675000004,107288.01375000009,103455.30725000004
