Date,b&h,without_pca,with_pca,with_pca_and_dwt
2015-01-21,100000.0,100000.0,100000.0,100000.0
2015-01-22,101420.89157434083,98379.96066613769,98379.96066613769,98379.96066613769
2015-01-23,101420.89157434083,98379.96066613769,98379.96066613769,98379.96066613769
2015-01-26,100865.72970910645,98935.12253137206,98935.12253137206,98935.12253137206
2015-01-27,101123.9606661377,98676.89157434081,98676.89157434081,98676.89157434081
2015-01-28,99774.4987520752,100026.35348840331,100026.35348840331,100026.35348840331
2015-01-29,98432.38803430177,101368.46420617675,101368.46420617675,101368.46420617675
2015-01-30,99367.79635949708,100433.05588098144,100433.05588098144,100433.05588098144
2015-02-02,98081.05588098145,101719.79635949706,101719.79635949706,101719.79635949706
2015-02-03,99348.195163208,100452.65707727052,100452.65707727052,100452.65707727052
2015-02-04,100778.01779504395,99022.83444543456,99022.83444543456,99022.83444543456
2015-02-05,100360.5368380127,99440.31540246581,99440.31540246581,99440.31540246581
2015-02-06,101390.02731652833,98410.82492395019,98410.82492395019,98410.82492395019
2015-02-09,101044.5749239502,98756.27731652831,98756.27731652831,98756.27731652831
2015-02-10,100616.80588098145,99184.04635949706,99184.04635949706,99184.04635949706
2015-02-11,101687.4606661377,98113.39157434081,98113.39157434081,98113.39157434081
2015-02-12,101684.51779504395,98116.33444543456,98116.33444543456,98116.33444543456
2015-02-13,102662.06540246583,97138.78683801269,97138.78683801269,97138.78683801269
2015-02-17,103079.05588098145,96721.79635949706,96721.79635949706,96721.79635949706
2015-02-18,103243.2106661377,96557.64157434081,96557.64157434081,96557.64157434081
2015-02-19,103210.8630098877,96589.98923059081,96589.98923059081,96589.98923059081
2015-02-20,103101.59396691895,96699.25827355956,96699.25827355956,96699.25827355956
2015-02-23,103731.2487520752,96069.60348840331,96069.60348840331,96069.60348840331
2015-02-24,103699.88205285645,96100.97018762206,96100.97018762206,96100.97018762206
2015-02-25,103985.06540246583,95815.78683801269,95815.78683801269,95815.78683801269
2015-02-26,103905.69162316895,95895.16061730956,95895.16061730956,95895.16061730956
2015-02-27,103752.80588098145,96048.04635949706,96048.04635949706,96048.04635949706
2015-03-02,103447.04635949708,96353.80588098144,96353.80588098144,96353.80588098144
2015-03-03,104078.6510958252,95722.20114465331,95722.20114465331,95722.20114465331
2015-03-04,103607.76779504395,96193.08444543456,96193.08444543456,96193.08444543456
2015-03-05,103154.51779504395,96646.33444543456,96646.33444543456,96646.33444543456
2015-03-06,103277.50827355958,96523.34396691894,96523.34396691894,96523.34396691894
2015-03-09,101818.2868380127,97982.56540246581,97982.56540246581,97982.56540246581
2015-03-10,102218.6130098877,97582.23923059081,98269.20251013184,98269.20251013184
2015-03-11,100490.38803430177,99310.46420617675,99829.15448400879,99829.15448400879
2015-03-12,100298.30588098145,99024.18241516114,99542.87269299317,100013.39654943848
2015-03-13,101558.09396691895,100258.26054016114,98210.86304846192,98805.02838537598
2015-03-16,100943.14157434083,100761.49728625489,98813.26539221192,99394.88068029785
2015-03-17,102304.85348840333,99427.57541125489,97479.34351721192,98088.74884436035
2015-03-18,101966.26779504395,99759.25119250489,97811.01929846192,98413.51471350098
2015-03-19,103202.04635949708,98548.69259875489,96600.46070471192,97228.1760904541
2015-03-20,102700.77731652833,99039.73166125489,97091.49976721192,97708.98517248535
2015-03-23,103623.45114465333,98135.88791125489,96187.65601721192,96823.97150061035
2015-03-24,103443.12253137208,98312.53634875489,96364.30445471192,96996.9397623291
2015-03-25,102810.04635949708,98932.69259875489,96984.46070471192,97604.1760904541
2015-03-26,101317.9987520752,100394.29025500489,98446.05836096192,99035.32379553223
2015-03-27,101077.89157434083,100629.49728625489,98681.26539221192,99265.63068029785
2015-03-30,101316.52731652833,100395.73166125489,98447.49976721192,99036.73517248535
2015-03-31,102552.30588098145,99185.17306750489,97236.94117346192,97851.39654943848
2015-04-01,101653.1510958252,100065.97775500489,98117.74586096192,98713.85113928223
2015-04-02,101251.35348840333,100459.57541125489,98511.34351721192,99099.24884436035
2015-04-06,101607.58444543458,100110.61447375489,98162.38257971192,98757.5579263916
2015-04-07,102276.93210168458,99454.92697375489,97506.69507971192,98115.5305826416
2015-04-08,102066.72018762208,99660.84884875489,97712.61695471192,98317.1624185791
2015-04-09,102339.64157434083,99393.49728625489,97445.26539221192,98055.38068029785
2015-04-10,102794.3630098877,98948.05588000489,96999.82398596192,97619.21930334473
2015-04-13,103327.48923059083,98425.80978625489,96477.57789221192,97107.85333654785
2015-04-14,102855.6130098877,98888.05588000489,96939.82398596192,97560.46930334473
2015-04-15,103022.7106661377,98724.36838000489,96776.13648596192,97400.19195959473
2015-04-16,103551.41061730958,98206.45822375489,96258.22632971192,96893.0715982666
2015-04-17,103471.05588098145,98285.17306750489,96336.94117346192,96970.14654943848
2015-04-20,102304.3630098877,99428.05588000489,97479.82398596192,98089.21930334473
2015-04-21,103246.14157434083,98505.49728625489,96557.26539221192,97185.88068029785
2015-04-22,103093.75827355958,98654.77072375489,96706.53882971192,97332.0442545166
2015-04-23,103616.58444543458,98142.61447375489,96194.38257971192,96830.5579263916
2015-04-24,103860.1130098877,97904.05588000489,95955.82398596192,96596.96930334473
2015-04-27,104093.35348840333,97675.57541125489,95727.34351721192,96373.24884436035
2015-04-28,103663.62253137208,98096.53634875489,96148.30445471192,96785.4397623291
2015-04-29,103949.7868380127,97816.21213000489,95867.98023596192,96510.95563146973
